# id,z,y,x
101807,7,3,4
101808,2,5,5
101809,7,7,7
101811,3,5,4
101812,1,6,4
101814,2,4,3
101815,4,5,4
101817,1,6,0
101818,0,7,5
101822,0,6,3
101823,6,6,4
101824,6,6,2
101825,4,4,5
101826,0,7,3
101827,1,5,0
101828,4,5,4
101829,0,5,1
101830,0,6,2
101831,1,7,0
101832,3,5,5
101834,1,6,4
101835,3,5,1
101836,2,4,1
101837,0,6,0
101838,2,5,4
101839,0,6,1
101840,3,6,4
101841,1,6,0
101843,1,6,6
101844,0,6,2
101845,5,5,0
101846,0,5,1
101847,0,5,5
101848,0,6,3
101849,1,7,7
101850,1,5,1
101851,0,6,2
101852,4,5,3
101853,1,5,0
101854,5,7,0
101855,0,5,3
101856,2,5,3
101857,4,7,4
101858,0,5,3
101859,4,5,1
101860,3,5,2
101862,2,6,2
101863,0,6,0
101864,0,6,2
101865,0,5,1
101869,4,5,2
101870,5,4,1
101871,6,5,1
101872,1,5,0
102877,2,5,3
102878,2,6,4
102879,1,6,3
102880,1,6,4
102881,2,5,1
102882,3,6,2
102883,1,5,4
102884,1,6,4
102885,3,5,3
102886,3,5,2
102887,1,5,3
102888,2,6,2
102889,1,6,3
102890,3,6,2
102891,2,6,4
102892,1,5,2
102893,2,5,2
102894,2,6,3
102895,2,6,5
102896,2,6,2
102897,2,6,2
102898,3,5,3
102900,1,6,3
102901,2,5,4
103033,1,6,0
103034,0,7,5
103035,2,5,2
103036,7,6,0
103037,2,5,3
103038,5,5,4
103039,0,7,4
103040,2,6,2
103041,0,6,2
103042,5,6,0
103043,2,5,1
103044,2,6,3
103045,1,5,1
103046,2,6,2
103047,2,5,2
103048,0,7,2
103049,2,6,2
103050,7,5,1
103051,2,5,3
103052,4,6,0
103053,2,5,2
103054,1,5,2
103055,2,6,2
103056,2,5,3
103057,2,5,3
103058,1,6,3
103059,1,6,1
103060,1,6,3
103061,2,6,1
103062,1,6,3
103063,2,5,2
103064,2,6,3
103065,1,6,2
103066,1,6,2
103067,1,5,2
103068,1,6,1
103069,3,5,3
103070,1,6,0
103071,2,6,3
103072,1,6,2
103073,1,5,2
103074,0,6,1
103075,2,6,1
103076,0,7,4
103077,1,5,2
103078,2,6,2
103079,1,5,1
103080,2,6,4
103081,1,5,1
103082,2,6,5
103083,3,5,5
103084,1,6,4
103085,3,6,0
103086,0,6,4
103087,1,6,1
103088,0,6,3
103089,0,6,3
103090,5,5,4
103091,3,5,1
103092,0,6,2
103094,2,6,4
103095,0,7,4
103097,2,6,1
103098,2,5,3
103099,1,6,3
103100,1,5,2
103101,3,5,4
103102,0,6,7
103103,2,6,2
103104,2,6,3
103105,0,6,2
103107,2,6,5
103108,4,5,1
103109,0,6,2
103110,2,6,1
103111,1,6,4
103112,3,5,2
103113,3,6,0
103114,1,6,3
103115,4,6,0
103116,2,6,6
103117,2,6,4
103118,0,6,3
103120,1,6,2
103121,3,6,2
103122,2,6,4
103123,0,6,2
103124,2,6,6
103125,1,6,2
103126,1,6,3
103127,3,6,3
103128,3,5,5
103129,1,6,3
103130,3,6,2
103131,2,5,4
103132,3,5,3
103133,0,6,4
103134,2,5,1
103135,2,6,3
103136,1,6,3
103137,2,5,4
103138,0,6,0
103139,2,5,2
103140,0,6,4
103141,0,6,0
103142,0,6,1
103143,3,5,1
103144,4,5,5
103145,1,6,1
103146,2,6,0
103147,4,5,4
103148,1,6,2
103149,2,6,3
103150,2,5,2
103151,2,6,1
103152,0,6,3
103153,2,6,0
103154,0,6,1
103155,3,6,5
103156,1,6,1
103157,0,5,2
103158,3,6,6
103159,4,6,5
103160,1,6,0
103161,1,6,7
103162,0,6,1
103163,2,5,5
103164,2,6,2
103165,2,6,5
103166,2,6,4
103167,3,6,0
103168,1,6,3
103169,3,6,1
103170,2,5,1
103171,2,5,3
103172,0,6,1
103173,2,6,2
103174,2,6,0
103175,2,6,3
103176,3,5,3
103177,3,5,3
103178,1,6,5
103179,2,5,4
103180,3,6,1
103181,2,5,5
103182,3,5,3
103183,2,5,4
103184,0,6,0
103185,3,6,2
103186,3,5,4
