# id,x,y,z
101807,7,2,7
101808,6,6,3
101809,7,7,7
101811,5,6,3
101812,6,7,2
101814,4,5,3
101815,6,5,4
101817,0,7,2
101818,6,7,1
101822,4,7,0
101823,4,7,5
101824,3,7,5
101825,6,5,5
101826,4,7,0
101827,0,6,2
101828,5,6,5
101829,2,6,0
101830,2,7,0
101831,0,7,1
101832,6,6,4
101834,5,7,3
101835,2,5,3
101836,1,5,3
101837,0,7,0
101838,6,6,3
101839,2,7,1
101840,5,7,4
101841,1,7,2
101843,7,7,2
101844,3,7,0
101845,0,6,5
101846,2,6,0
101847,6,6,0
101848,4,7,1
101849,7,7,2
101850,2,6,2
101851,3,7,1
101852,5,6,5
101853,0,6,2
101854,0,7,5
101855,4,6,0
101856,4,6,3
101857,5,7,6
101858,4,6,1
101859,1,5,5
101860,2,6,4
101862,2,7,3
101863,1,7,0
101864,3,7,0
101865,1,6,0
101869,3,6,5
101870,2,4,6
101871,2,6,7
101872,0,6,2
102877,5,6,3
102878,5,7,4
102879,4,7,2
102880,4,7,2
102881,1,6,3
102882,3,7,4
102883,5,6,2
102884,6,7,2
102885,5,6,5
102886,3,7,4
102887,5,7,2
102888,3,7,3
102889,4,7,2
102890,3,7,4
102891,5,7,3
102892,3,6,2
102893,3,6,3
102894,5,7,4
102895,7,7,3
102896,3,7,3
102897,3,7,3
102898,5,6,4
102900,3,7,3
102901,6,6,3
103033,0,7,2
103034,5,7,1
103035,3,6,3
103036,2,6,7
103037,4,6,3
103038,6,6,6
103039,4,7,1
103040,3,7,3
103041,3,7,1
103042,2,7,4
103043,2,6,3
103044,4,7,3
103045,2,6,2
103046,2,7,3
103047,3,6,3
103048,3,7,1
103049,3,7,3
103050,1,6,7
103051,4,6,3
103052,2,7,4
103053,3,6,3
103054,3,6,3
103055,3,7,3
103056,4,7,3
103057,4,6,3
103058,4,7,2
103059,2,7,2
103060,4,7,2
103061,2,7,3
103062,4,7,3
103063,3,6,3
103064,4,7,3
103065,3,7,2
103066,2,7,2
103067,2,6,2
103068,2,7,2
103069,4,6,3
103070,1,7,2
103071,4,7,3
103072,3,7,3
103073,3,6,2
103074,2,7,1
103075,2,7,3
103076,4,7,0
103077,3,6,2
103078,3,7,3
103079,2,6,2
103080,5,7,3
103081,2,7,2
103082,7,7,3
103083,5,6,3
103084,5,7,3
103085,0,7,4
103086,5,7,1
103087,1,7,1
103088,5,7,1
103089,5,7,1
103090,6,6,5
103091,1,6,4
103092,3,7,1
103094,5,7,3
103095,5,7,0
103097,2,7,3
103098,4,6,3
103099,4,7,2
103100,3,6,2
103101,6,6,4
103102,7,7,1
103103,3,7,3
103104,5,7,3
