# id,k,j,i
101807,2,5,3
101808,2,5,3
101809,2,5,3
101811,2,5,3
101812,2,5,3
101814,2,5,3
101815,2,6,3
101817,2,5,3
101818,2,5,3
101822,2,4,4
101823,2,6,3
101824,2,6,3
101825,3,6,2
101826,2,5,4
101827,2,6,3
101828,2,5,3
101829,2,5,3
101830,2,5,3
101831,2,5,3
101832,2,5,3
101834,3,5,3
101835,2,5,3
101836,2,5,3
101837,2,5,3
101838,2,5,3
101839,2,5,3
101840,2,5,3
101841,2,5,3
101843,2,6,4
101844,2,5,2
101845,2,5,3
101846,2,6,3
101847,2,6,3
101848,2,6,3
101849,2,6,3
101850,2,6,3
101851,2,6,3
101852,3,5,3
101853,2,6,3
101854,2,5,4
101855,2,5,3
101856,2,5,2
101857,3,5,2
101858,2,5,2
101859,3,5,2
101860,3,5,1
101862,2,5,2
101863,2,5,2
101864,5,2,3
101865,3,5,3
101869,2,5,3
101870,2,5,3
101871,2,5,3
101872,6,2,3
102877,2,5,2
102878,2,5,2
102879,2,5,2
102880,2,5,3
102881,2,5,3
102882,2,6,3
102883,2,5,3
102884,2,5,3
102885,2,5,3
102886,2,5,2
102887,2,5,3
102888,2,5,3
102889,2,5,2
102890,2,5,2
102891,2,5,3
102892,2,5,3
102893,2,5,3
102894,2,5,2
102895,2,5,3
102896,2,5,3
102897,2,5,3
102898,2,5,3
102900,2,5,3
102901,2,5,2
103033,2,6,3
103034,2,6,3
103035,2,6,3
103036,2,6,3
103037,2,6,3
103038,2,6,3
103039,2,6,3
103040,2,6,3
103041,2,6,3
103042,2,6,3
103043,2,6,3
103044,2,6,3
103045,2,6,3
103046,2,6,3
103047,2,6,3
103048,2,6,3
103049,2,6,3
103050,2,6,3
103051,2,6,3
103052,2,6,3
103053,2,6,3
103054,2,6,2
103055,2,6,3
103056,2,6,3
103057,2,6,3
103058,2,6,3
103059,2,6,3
103060,2,6,3
103061,2,6,3
103062,2,6,3
103063,2,6,3
103064,2,6,3
103065,2,6,3
103066,2,6,2
103067,2,6,2
103068,2,6,2
103069,2,6,3
103070,2,6,3
103071,2,6,3
103072,2,6,3
103073,2,6,3
103074,2,6,3
103075,2,6,3
103076,2,6,3
103077,2,6,3
103078,2,6,3
103079,2,6,3
103080,2,6,2
103081,2,6,2
103082,2,5,2
103083,2,6,2
103084,3,6,3
103085,2,6,3
103086,2,6,3
103087,2,6,3
103088,2,6,2
103089,2,6,3
103090,2,5,3
103091,2,6,3
103092,2,6,3
103094,2,6,2
103095,2,6,3
103097,2,6,3
103098,2,6,2
103099,2,6,2
103100,2,6,3
103101,2,6,3
103102,2,6,3
103103,2,6,3
103104,2,5,2
103105,1,6,2
103107,2,6,3
103108,2,6,3
103109,2,6,3
103110,2,6,3
103111,2,6,3
103112,2,6,2
103113,2,6,2
103114,2,5,3
103115,2,6,2
103116,2,6,2
103117,1,6,3
103118,2,6,2
103120,2,6,3
103121,2,6,2
103122,3,6,2
103123,2,6,2
103124,3,5,2
103125,2,6,2
103126,2,6,3
103127,2,6,3
103128,2,6,2
103129,2,6,2
103130,2,6,1
103131,2,6,2
103132,2,5,2
103133,2,6,2
103134,3,5,3
103135,3,6,3
103136,2,6,2
103137,3,6,3
103138,3,6,2
103139,3,6,3
103140,3,6,3
103141,3,6,2
103142,3,6,3
103143,3,6,3
103144,3,6,2
103145,3,6,2
103146,3,6,2
103147,3,6,3
103148,3,6,3
103149,3,5,2
103150,3,6,3
103151,3,6,2
103152,3,6,3
103153,3,6,2
