# id,x,y,z
101807,3,6,3
101808,4,6,3
101809,6,4,1
101811,3,6,3
101812,3,6,3
101814,4,7,3
101815,4,7,4
101817,3,6,4
101818,4,6,4
101822,5,5,3
101823,3,7,3
101824,4,7,3
101825,3,7,4
101826,5,6,4
101827,4,7,4
101828,4,6,3
101829,4,6,3
101830,3,6,3
101831,3,6,3
101832,3,6,3
101834,4,6,4
101835,4,6,4
101836,4,6,3
101837,4,6,3
101838,4,6,3
101839,4,6,3
101840,4,6,3
101841,4,6,3
101843,4,7,3
101844,3,6,4
101845,4,6,3
101846,4,7,3
101847,4,7,3
101848,4,7,4
101849,4,7,4
101850,4,7,3
101851,4,7,4
101852,4,6,4
101853,3,7,3
101854,5,6,4
101855,4,6,4
101856,3,6,3
101857,3,6,4
101858,3,6,4
101859,2,6,4
101860,2,6,4
101862,3,6,3
101863,3,6,3
101864,4,3,6
101865,6,4,3
101869,4,5,3
101870,6,6,3
101871,4,6,3
101872,4,3,7
102877,3,6,3
102878,3,6,4
102879,3,6,3
102880,4,6,3
102881,4,6,3
102882,5,6,3
102883,4,6,3
102884,4,6,3
102885,3,6,3
102886,4,6,3
102887,4,6,3
102888,4,6,3
102889,3,6,3
102890,3,6,3
102891,3,6,4
102892,4,6,3
102893,4,6,3
102894,3,6,3
102895,6,6,2
102896,4,6,3
102897,4,6,3
102898,4,6,3
102900,4,6,3
102901,3,6,3
103033,4,4,3
103034,4,7,3
103035,4,7,3
103036,4,7,3
103037,4,7,3
103038,3,7,3
103039,3,7,3
103040,3,7,3
103041,4,7,3
103042,4,7,4
103043,3,7,3
103044,3,7,3
103045,3,7,3
103046,3,7,3
103047,3,7,3
103048,3,7,3
103049,3,7,3
103050,3,7,3
103051,3,7,3
103052,3,7,3
103053,3,7,3
103054,3,7,3
103055,3,7,3
103056,4,7,3
103057,3,7,3
103058,3,7,3
103059,4,7,3
103060,4,7,3
103061,3,7,3
103062,3,7,3
103063,3,7,3
103064,3,7,3
103065,3,7,3
103066,3,7,3
103067,3,7,3
103068,3,7,3
103069,3,7,3
103070,4,7,3
103071,3,7,3
103072,3,7,3
103073,4,7,3
103074,4,7,3
103075,3,7,3
103076,3,7,3
103077,3,7,3
103078,3,7,3
103079,3,7,3
103080,3,7,4
103081,3,7,3
103082,1,6,4
103083,3,7,3
103084,4,7,4
103085,3,7,3
103086,4,7,3
103087,4,7,3
103088,3,7,3
103089,3,7,3
103090,4,6,4
103091,3,7,3
103092,4,7,3
103094,2,6,4
103095,4,7,2
103097,4,7,3
103098,3,7,4
103099,3,7,3
103100,3,7,3
103101,4,7,3
103102,4,7,3
103103,3,7,3
103104,3,6,4
103105,3,7,2
103107,4,7,2
103108,4,7,3
103109,4,7,3
103110,4,7,3
103111,3,7,3
103112,3,7,3
103113,5,4,2
103114,3,7,3
103115,4,7,3
103116,3,7,3
103117,4,7,2
103118,3,6,4
103120,4,7,3
103121,3,7,3
103122,2,7,4
103123,3,7,3
103124,3,7,4
103125,2,7,4
103126,4,7,3
103127,3,7,3
103128,3,7,3
103129,3,7,3
103130,2,7,3
103131,3,7,4
103132,3,7,3
103133,3,7,2
103134,3,6,4
103135,4,7,4
103136,2,7,4
103137,4,7,4
103138,3,7,4
103139,4,7,4
103140,4,7,4
103141,3,7,4
103142,3,7,4
103143,4,7,4
103144,3,7,5
103145,3,7,4
103146,2,7,4
103147,4,7,4
103148,4,7,4
103149,3,7,4
103150,3,7,4
103151,3,7,4
103152,4,7,4
103153,3,7,3
103154,3,7,3
103155,3,7,4
103156,5,7,5
103157,3,7,4
103158,3,7,4
103159,4,7,4
103160,3,7,4
103161,3,7,4
103162,4,7,4
103163,1,4,4
103164,3,7,4
103165,1,4,4
103166,3,7,4
103167,3,7,4
103168,3,7,4
103169,4,7,4
103170,4,7,4
103171,3,7,5
103172,3,7,5
103173,3,7,4
103174,1,4,4
103175,3,7,5
103176,3,7,4
103177,3,7,4
103178,3,7,4
103179,4,7,4
103180,3,7,4
103181,4,7,4
103182,3,6,4
103183,2,7,4
103184,3,7,4
103185,3,7,4
103186,2,7,4
103187,5,7,3
103188,5,7,3
103189,4,7,3
103190,4,7,2
103191,4,7,2
103192,3,7,3
103193,4,7,3
103194,3,7,3
103195,4,7,2
103196,4,7,2
103197,3,7,2
103198,3,7,3
103200,6,7,4
103201,6,7,2
103202,4,7,2
103203,3,7,2
103204,4,7,3
103205,4,7,3
103206,2,7,2
103207,4,7,3
103208,3,7,2
103209,4,7,2
103210,4,7,2
103211,4,7,2
103212,4,7,2
103213,3,7,1
103214,5,7,3
103215,5,7,2
103216,4,7,2
103217,3,7,2
103218,4,7,3
103219,5,7,3
103220,4,7,3
103221,4,7,3
103222,3,7,2
103223,4,7,2
103224,4,7,2
103225,4,7,3
103226,4,7,3
103227,5,7,1
103228,4,7,3
103229,4,7,2
103230,4,7,3
103231,4,7,3
103232,3,7,3
103233,4,7,3
103234,4,7,3
103235,5,7,2
103236,3,7,3
103237,4,7,3
103238,4,7,3
103239,3,7,3
103240,4,7,3
103241,3,6,2
103242,4,7,2
103243,5,7,3
103244,4,7,3
103245,3,7,2
103246,4,7,4
103247,3,7,3
103248,3,7,3
103249,2,6,4
103250,3,6,4
103251,4,7,3
103252,4,7,4
103253,4,7,4
103254,4,7,4
103255,4,7,4
103256,4,7,3
103257,4,7,4
103258,4,7,3
103259,4,7,4
103260,4,7,4
103261,4,7,3
103262,3,7,3
103263,5,7,3
103264,4,7,4
103265,5,7,4
103266,3,7,2
103267,3,7,2
103268,2,7,2
103270,4,7,2
103271,3,7,2
103272,4,7,4
103273,4,7,3
103274,4,7,3
103275,4,7,3
103276,4,7,3
103277,4,7,3
103278,4,7,4
103279,4,7,4
103280,4,7,4
103281,5,7,3
103282,5,7,4
103283,4,7,3
103284,4,7,4
103285,4,7,4
103286,4,7,3
103287,5,7,4
103288,4,7,3
103289,2,7,2
103290,3,7,3
103291,5,4,1
103292,2,7,3
103294,2,7,3
103295,2,7,3
103296,4,7,4
103297,2,7,4
103298,2,7,2
103299,3,7,3
103300,4,7,4
103301,3,7,3
103302,3,7,3
103303,2,7,3
103304,3,7,4
103305,3,7,3
103306,4,7,2
103307,2,7,3
103308,3,7,4
103309,3,7,4
103310,2,7,3
103311,2,7,2
103312,4,7,4
103313,3,7,3
103315,2,7,2
103316,4,7,3
103317,4,7,3
103318,3,7,3
103319,2,7,3
103320,2,7,3
103321,4,7,4
103322,3,7,4
103323,3,7,3
103324,2,7,3
103325,1,4,4
103327,3,7,3
103328,2,7,3
103329,4,7,4
103330,4,7,3
103331,3,7,3
103332,3,7,3
103333,3,7,2
103334,4,7,4
103335,3,7,3
103336,3,7,3
103337,3,7,2
103338,4,7,4
103339,3,7,4
103340,3,7,3
103341,4,7,4
103342,3,7,3
103343,3,7,3
103344,3,7,3
103345,4,7,4
103346,3,7,4
103347,4,7,4
103348,6,7,4
103349,3,7,3
103350,3,7,3
103351,2,7,4
103352,4,7,4
103353,4,7,3
103354,3,7,3
103355,4,7,3
103356,4,7,3
103357,2,7,3
103358,6,6,3
103359,2,7,3
103360,3,7,4
103361,3,7,4
103362,3,7,4
103363,4,7,3
103364,2,7,3
103365,4,7,4
103366,2,7,3
103367,5,7,5
103368,3,7,3
103369,4,7,4
103370,4,7,4
103372,4,7,4
103373,2,7,4
103374,4,7,4
103375,5,7,4
103376,2,7,4
103377,3,7,3
103378,3,7,3
103379,3,7,4
103380,3,7,3
103381,3,7,3
103382,4,7,3
103383,5,7,4
103384,3,7,4
103385,3,4,5
103386,4,7,4
103388,5,7,5
103389,6,6,3
103390,4,7,5
103391,3,7,4
103392,4,7,5
103393,5,7,4
103394,4,7,4
103395,4,7,4
103396,4,7,5
105193,3,5,3
105194,4,6,3
105195,4,7,3
105196,4,6,3
105197,4,7,3
105198,3,6,3
105199,4,6,3
105200,4,6,3
105201,4,7,4
105202,3,7,4
105203,4,7,3
105204,3,6,2
105205,4,7,4
105206,3,6,3
105207,3,7,4
105209,3,5,3
105210,3,5,3
105211,3,5,3
105212,3,5,3
105213,4,5,2
105215,3,5,3
105216,3,5,3
105217,4,5,3
105218,3,5,3
105219,3,5,3
105220,4,5,3
105221,3,5,5
105222,3,5,4
105223,3,5,3
105224,3,5,3
105225,3,5,3
105226,3,6,3
105227,3,6,3
105228,3,6,3
105229,3,5,3
105230,3,6,4
105231,3,6,3
105232,4,6,3
105233,3,5,3
105234,3,6,3
105235,3,6,3
105236,3,6,3
105237,3,6,4
105238,4,5,3
105239,3,6,3
105240,4,5,3
105241,3,5,3
105242,4,6,3
105243,3,6,3
105244,3,6,4
105245,3,6,3
105246,3,6,3
105247,3,5,3
105248,3,6,3
105249,4,5,3
105250,3,5,4
105251,3,5,3
105252,3,6,3
105253,3,6,3
105254,3,6,3
105255,2,6,3
105256,3,5,3
105257,4,6,3
105258,3,5,3
105259,2,5,4
105260,3,5,2
105261,3,5,3
105262,3,5,2
105263,4,5,2
105264,3,6,3
105265,3,5,3
105266,3,5,3
105267,3,5,2
105268,3,6,3
105269,3,5,3
105270,3,5,3
105271,4,5,2
105272,3,6,3
105273,3,6,3
105274,3,6,3
105275,3,5,3
105276,3,6,4
105277,3,5,3
105278,3,5,2
105279,4,5,3
105280,3,6,3
105281,4,5,2
105282,3,6,3
105283,3,5,3
105284,3,6,3
105285,4,6,3
105286,3,6,3
105287,4,5,2
105288,4,5,3
105290,3,5,3
105291,3,6,3
105292,4,5,2
105293,3,5,3
105294,4,6,2
105295,3,6,3
105296,3,5,3
105297,3,5,3
105298,3,6,3
105299,3,6,3
105300,4,6,3
105301,3,6,3
105302,4,5,2
105303,4,5,3
105304,3,6,3
105305,4,5,3
105306,3,6,3
105307,4,6,3
105643,4,6,3
105644,4,6,3
105645,4,6,3
105646,4,6,3
105647,4,6,3
105648,4,6,3
105649,4,6,3
105650,4,6,3
105651,3,6,3
105652,4,6,3
105653,4,6,3
105654,4,6,3
105655,4,6,3
105656,4,6,3
105657,4,6,3
105658,4,6,3
105659,4,5,3
105660,4,6,3
105661,4,6,3
105662,4,6,3
105663,1,5,4
105664,4,6,2
105665,3,6,3
105666,1,4,4
105667,3,5,3
105668,3,5,3
105669,4,6,3
105670,5,5,3
105671,3,6,3
105673,2,5,2
105674,3,5,2
105676,3,6,2
105677,3,6,1
105678,3,6,1
105679,3,6,1
105680,4,5,3
105681,3,5,3
105682,3,5,4
105683,3,6,2
105684,3,6,4
105685,4,6,2
105686,3,6,2
105687,4,6,4
105688,3,6,2
105689,3,5,3
105690,2,6,2
105691,3,5,4
105692,2,2,2
105693,3,5,3
105694,2,6,3
105696,3,6,4
105697,3,6,1
105698,2,6,4
105699,3,5,3
105700,1,3,3
105701,2,6,3
105702,2,6,3
105703,3,6,3
105704,2,6,4
105705,2,5,2
105706,1,6,3
105707,3,6,2
105708,2,6,3
105709,4,6,3
105710,3,6,1
105712,3,6,3
105713,3,6,3
105714,2,6,3
105715,3,6,3
105716,3,6,3
105717,3,6,4
105718,3,6,3
105719,3,6,4
105720,3,6,3
105721,3,6,3
105722,3,6,3
105723,3,6,4
105724,4,6,3
105725,3,6,3
105726,4,6,3
105727,3,5,2
105728,4,6,3
105729,3,6,3
105730,3,6,4
105731,3,6,4
105732,3,6,3
105733,3,6,3
105734,3,6,4
105735,5,5,2
105736,3,6,4
105737,3,6,3
105738,3,6,4
105739,3,6,4
105740,3,6,3
105742,2,6,4
105743,3,6,4
105744,3,6,3
105745,3,6,3
105746,3,6,3
105748,3,6,3
105749,3,6,3
105750,3,6,3
105751,3,6,3
105752,4,6,3
105753,3,6,3
105754,3,6,3
105755,4,6,4
105756,2,5,3
105757,3,6,3
105758,4,6,2
105759,4,6,3
105760,4,6,3
105761,4,6,3
105762,4,6,3
105763,4,6,3
105764,4,6,3
108817,2,6,4
108818,3,6,3
108820,4,4,5
108821,5,2,4
108822,3,6,4
108823,4,5,2
108824,3,6,3
108825,3,6,3
108827,4,5,3
108828,3,6,3
108829,3,6,4
108830,4,6,4
108831,3,6,4
108832,3,6,3
108833,5,4,6
108834,3,7,4
108835,4,6,4
108837,3,6,4
108838,5,6,3
108839,3,6,4
108840,4,6,3
108841,4,6,3
108842,3,6,4
108843,3,6,3
108844,3,6,3
108845,3,6,3
