# id,z,y,x
101807,7,4,3
101808,1,6,4
101809,5,7,4
101811,2,6,3
101812,1,6,3
101814,1,5,3
101815,2,5,3
101817,1,6,1
101818,0,7,4
101822,0,6,3
101823,4,6,3
101824,4,6,2
101825,3,5,4
101826,0,7,3
101827,1,6,1
101828,3,6,3
101829,0,6,2
101830,0,6,2
101831,1,7,0
101832,2,5,4
101834,1,6,3
101835,2,5,2
101836,1,5,2
101837,0,6,1
101838,1,6,3
101839,0,6,2
101840,2,6,3
101841,1,6,2
101843,1,6,4
101844,0,6,2
101845,3,6,1
101846,0,6,2
101847,0,5,4
101848,0,6,3
101849,1,7,6
101850,1,6,2
101851,0,6,2
101852,2,6,3
101853,1,6,1
101854,3,7,0
101855,0,6,3
101856,2,6,3
101857,3,7,3
101858,0,6,3
101859,3,5,2
101860,2,5,2
101862,2,6,2
101863,0,6,1
101864,0,6,3
101865,0,6,2
101868,1,5,2
101869,3,5,2
101870,3,4,2
101871,4,6,2
101872,1,5,1
102877,1,6,3
102878,2,6,3
102879,1,6,3
102880,1,6,3
102881,1,6,2
102882,2,6,2
102883,1,6,3
102884,1,6,3
102885,2,6,3
102886,2,6,2
102887,1,6,3
102888,1,6,2
102889,1,6,3
102890,2,6,2
102891,2,6,3
102892,1,6,2
102893,2,6,2
102894,2,6,3
102895,1,6,4
102896,2,6,2
102897,1,6,2
102898,2,6,3
102900,1,6,3
102901,1,6,3
103033,1,6,1
103034,0,7,3
103035,1,6,2
103036,6,6,1
103037,1,6,3
103038,3,6,3
103039,0,7,3
103040,1,6,2
103041,0,6,2
103042,3,6,2
103043,1,6,2
103044,1,6,3
103045,1,6,2
103046,1,6,2
103047,1,6,2
103048,0,7,2
103049,1,6,2
103050,5,5,2
103051,1,6,3
103052,3,6,1
103053,2,6,2
103054,1,6,2
103055,1,6,2
103056,1,6,3
103057,1,6,3
103058,1,6,3
103059,1,6,2
103060,1,6,3
103061,2,6,2
103062,1,6,3
103063,1,6,2
103064,2,6,3
103065,1,6,2
103066,1,6,2
103067,1,6,2
103068,1,6,2
103069,2,6,3
103070,1,6,1
103071,1,6,3
103072,1,6,2
103073,1,6,2
103074,0,6,2
103075,1,6,2
103076,0,7,3
103077,1,6,2
103078,1,6,2
103079,1,6,2
103080,1,6,3
103081,1,6,2
103082,1,6,4
103083,2,6,4
103084,1,6,3
103085,2,6,1
103086,0,6,3
103087,1,6,2
103088,0,6,3
103089,0,6,3
103090,3,6,3
103091,2,6,2
103092,0,6,2
103094,1,6,3
103095,0,7,3
103097,2,6,2
103098,2,6,3
103099,1,6,3
103100,1,6,2
103101,2,6,3
103102,0,6,5
103103,1,6,2
103104,1,6,3
103105,0,6,2
103107,1,6,4
103108,3,6,2
103109,0,6,2
103110,1,6,2
103111,1,6,3
103112,2,6,2
103113,2,6,1
103114,1,6,3
103115,3,6,1
103116,1,6,4
103117,2,6,3
103118,0,6,3
103120,1,6,2
103121,2,6,2
103122,1,6,3
103123,0,6,2
103124,2,6,4
103125,1,6,2
103126,1,6,3
103127,2,6,3
103128,2,6,4
103129,1,6,3
103130,2,6,2
103131,1,6,3
103132,2,6,3
103133,0,6,3
103134,2,6,2
103135,2,6,3
103136,1,6,3
103137,1,6,3
103138,0,6,2
103139,1,6,2
103140,0,6,3
103141,0,6,1
103142,0,6,2
103143,2,6,2
103144,3,6,4
103145,1,6,2
103146,1,6,1
103147,2,6,3
103148,1,6,2
103149,2,6,3
103150,1,6,2
103151,2,6,2
103152,0,6,3
103153,1,6,2
103154,0,6,2
103155,2,6,4
103156,1,6,2
103157,0,6,2
103158,2,6,4
103159,2,6,4
103160,1,6,1
103161,1,6,4
103162,0,6,2
103163,1,6,4
103164,2,6,2
103165,1,6,4
103166,1,6,3
103167,2,6,1
103168,1,6,3
103169,2,6,2
103170,2,6,2
103171,1,6,3
103172,0,6,2
103173,1,6,2
103174,2,6,1
103175,1,6,3
103176,2,6,3
103177,2,6,3
103178,1,6,4
103179,1,6,3
103180,2,6,2
103181,2,6,4
103182,2,6,3
103183,1,6,3
103184,0,6,2
103185,2,6,2
103186,2,6,3
103187,1,6,2
103188,1,6,2
103189,2,6,4
103190,1,6,1
103191,1,6,3
103192,1,6,3
103193,2,6,1
103194,1,6,1
103195,2,6,2
103196,1,6,2
103197,2,6,3
103198,2,6,3
103200,2,6,2
103201,2,6,3
103202,1,6,3
103203,1,6,2
103204,2,6,3
103205,0,6,3
103206,2,6,2
103207,2,6,2
103208,3,5,2
103209,2,6,3
103210,3,6,2
103211,0,6,2
103212,2,6,3
103213,0,6,3
103214,1,6,3
103215,1,6,3
103216,3,6,1
103217,1,6,2
103218,0,6,3
103219,2,6,3
103220,1,6,1
103221,1,6,3
103222,1,6,2
103223,1,6,1
103224,1,6,3
103225,2,6,4
103226,1,6,3
103227,2,6,2
103228,1,6,2
103229,2,5,3
103230,1,6,3
103231,2,6,3
103232,0,6,3
103233,1,6,1
103234,3,6,2
103235,2,6,2
103236,0,6,3
103237,2,6,3
103238,0,6,1
103239,2,6,3
103240,2,6,3
103241,4,6,3
103242,1,6,3
103243,1,6,3
103244,0,6,2
103245,0,7,6
103246,2,6,2
103247,0,6,3
103248,5,5,1
103249,2,6,3
103250,1,6,2
103251,4,5,0
103252,4,5,1
103253,2,6,1
103254,0,7,2
103255,2,6,3
103256,1,6,2
103257,1,6,2
