# id,z,y,x
101807,2,6,3
101808,2,6,3
101809,1,6,3
101811,1,6,3
101812,2,6,3
101814,1,6,3
101815,2,6,3
101817,2,6,3
101818,2,6,3
101822,2,5,3
101823,1,6,3
101824,1,6,3
101825,2,6,2
101826,2,6,3
101827,2,6,3
101828,2,6,3
101829,1,6,3
101830,2,6,3
101831,2,6,3
101832,1,6,3
101834,2,6,3
101835,2,6,3
101836,2,6,3
101837,2,6,3
101838,1,6,3
101839,1,6,3
101840,1,6,3
101841,2,6,3
101843,1,6,3
101844,2,6,2
101845,2,6,3
101846,1,6,3
101847,1,6,3
101848,2,6,3
101849,2,6,3
101850,2,6,3
101851,2,6,3
101852,2,6,3
101853,2,6,3
101854,2,6,3
101855,2,5,3
101856,2,6,2
101857,2,6,2
101858,2,5,2
101859,2,6,2
101860,2,6,2
101862,2,6,2
101863,2,5,2
101864,3,4,3
101865,2,6,3
101868,4,3,3
101869,2,5,3
101870,2,6,3
101871,1,5,3
101872,4,4,3
102877,2,5,2
102878,2,5,2
102879,1,6,2
102880,2,5,3
102881,1,5,3
102882,1,6,3
102883,1,6,3
102884,1,6,3
102885,2,6,3
102886,2,6,2
102887,1,6,3
102888,1,6,3
102889,2,5,3
102890,2,6,2
102891,2,5,3
102892,1,6,3
102893,2,6,3
102894,1,6,2
102895,1,6,3
102896,1,6,3
102897,2,6,3
102898,2,6,3
102900,2,5,3
102901,1,6,2
103033,1,6,3
103034,1,6,3
103035,1,6,3
103036,1,6,3
103037,1,6,3
103038,1,6,3
103039,1,6,3
103040,1,6,3
103041,2,6,3
103042,2,6,3
103043,1,6,3
103044,1,6,3
103045,1,6,3
103046,1,6,3
103047,2,6,3
103048,1,6,3
103049,2,6,3
103050,2,6,3
103051,2,6,3
103052,1,6,3
103053,1,6,3
103054,1,6,2
103055,1,6,3
103056,1,6,3
103057,2,6,3
103058,1,6,3
103059,1,6,3
103060,1,6,3
103061,1,6,3
103062,2,6,3
103063,2,6,3
103064,2,6,3
103065,2,6,3
103066,1,6,2
103067,1,6,3
103068,1,6,2
103069,2,6,3
103070,2,6,3
103071,2,6,3
103072,2,6,3
103073,2,6,3
103074,2,6,3
103075,2,6,3
103076,2,6,3
103077,2,6,3
103078,2,6,3
103079,2,6,3
103080,2,6,3
103081,1,6,3
103082,2,6,2
103083,2,6,2
103084,2,6,3
103085,1,6,3
103086,1,6,3
103087,2,6,3
103088,1,6,2
103089,2,6,3
103090,2,6,3
103091,1,6,3
103092,1,6,3
103094,1,6,2
103095,1,6,3
103097,1,6,3
103098,2,6,2
103099,2,6,2
103100,2,6,3
103101,2,6,3
103102,1,6,3
103103,1,6,3
103104,2,6,2
103105,1,6,2
103107,1,6,3
103108,1,6,3
103109,1,6,3
103110,2,6,3
103111,2,6,3
103112,2,6,2
103113,1,6,3
103114,2,6,3
103115,2,6,3
103116,2,6,2
103117,1,6,3
103118,2,6,2
103120,2,6,3
103121,2,6,3
103122,2,6,2
103123,1,6,3
103124,2,6,3
103125,2,6,2
103126,1,6,3
103127,1,6,3
103128,1,6,2
103129,1,6,2
103130,2,6,2
103131,2,6,2
103132,2,6,2
103133,1,6,2
103134,2,6,3
103135,2,6,3
103136,1,6,2
103137,2,6,3
103138,2,6,2
103139,2,6,3
103140,2,6,3
103141,2,6,2
103142,2,6,3
103143,2,6,3
103144,2,6,2
103145,2,6,2
103146,2,6,2
103147,2,6,3
103148,2,6,3
103149,2,6,2
103150,2,6,3
103151,2,6,2
103152,2,6,3
103153,2,6,2
103154,2,6,3
103155,2,6,3
103156,2,6,3
103157,2,6,2
103158,2,6,3
103159,2,6,3
103160,2,6,2
103161,2,6,3
103162,2,6,3
103163,2,6,2
103164,2,6,2
103165,2,6,3
103166,2,6,3
103167,2,6,2
103168,2,6,2
103169,2,6,3
103170,2,6,3
103171,2,6,2
103172,2,6,2
103173,2,6,2
103174,2,6,3
103175,3,6,3
103176,2,6,3
103177,2,6,3
103178,2,6,3
103179,2,6,3
103180,2,6,2
103181,2,6,3
103182,2,6,2
103183,2,6,2
103184,2,6,3
103185,2,6,2
103186,2,6,2
103187,1,6,3
103188,1,6,3
103189,1,6,3
103190,1,6,3
103191,1,6,3
103192,1,6,2
103193,1,6,3
103194,1,6,3
103195,1,6,3
103196,1,6,3
103197,1,6,2
103198,1,6,2
103200,2,6,3
103201,1,6,3
103202,1,6,3
103203,1,6,2
103204,1,6,3
103205,1,6,3
103206,1,6,3
103207,1,6,3
103208,1,6,2
103209,1,6,3
103210,1,6,3
103211,1,6,3
103212,1,6,3
103213,1,6,2
103214,2,6,3
103215,1,6,3
103216,1,6,3
103217,1,6,3
103218,1,6,3
103219,2,6,3
103220,1,6,3
103221,1,6,3
103222,1,6,2
103223,1,6,3
103224,1,6,3
103225,1,6,3
103226,1,6,3
103227,1,6,3
103228,1,6,3
103229,1,6,3
103230,2,6,3
103231,1,6,3
103232,1,6,2
103233,2,6,3
103234,1,6,3
103235,1,6,3
103236,1,6,2
103237,1,6,3
103238,2,6,3
103239,1,6,2
103240,2,6,3
103241,1,5,2
103242,1,6,3
103243,2,6,3
103244,2,6,3
103245,1,6,2
103246,2,6,3
103247,1,6,2
103248,1,6,3
103249,2,6,3
103250,2,6,3
103251,1,6,3
103252,2,6,3
103253,2,6,3
103254,2,6,3
103255,2,6,3
103256,2,6,3
103257,2,6,3
103258,2,6,3
103259,2,6,3
103260,2,6,3
103261,1,6,3
103262,1,6,3
103263,1,6,3
103264,2,6,3
103265,2,6,3
103266,1,6,2
103267,1,6,2
103268,1,6,2
103270,1,6,3
103271,1,6,2
103272,2,6,3
103273,2,6,3
103274,2,6,3
103275,2,6,3
103276,2,6,3
103277,2,6,3
103278,2,6,3
103279,2,6,3
103280,2,6,3
103281,2,6,3
103282,2,6,3
103283,2,6,3
103284,2,6,3
103285,2,6,3
103286,2,6,3
103287,2,6,3
103288,2,6,3
103289,1,6,2
103290,2,6,2
103291,1,6,2
103292,2,6,2
103294,1,6,2
103295,2,6,2
103296,2,6,3
103297,2,6,3
103298,1,6,2
103299,1,6,2
103300,2,6,3
103301,2,6,2
103302,1,6,2
103303,1,6,2
103304,2,6,3
103305,1,6,2
103306,1,6,2
103307,1,6,2
103308,2,6,2
103309,2,6,2
103310,1,6,2
103311,1,6,2
103312,2,6,3
103313,2,6,2
103314,1,6,2
103315,1,6,2
103316,1,6,3
103317,2,6,3
103318,2,6,2
103319,1,6,2
103320,1,6,2
103321,2,6,3
103322,2,6,2
103323,1,6,2
103324,1,6,2
103325,2,6,2
103326,0,6,2
103327,1,6,2
103328,1,6,2
103329,2,6,3
103330,1,6,3
103331,1,6,2
103332,1,6,2
103333,1,6,2
103334,2,6,3
103335,2,6,3
103336,1,6,2
103337,1,6,2
103338,2,6,3
103339,2,6,3
103340,2,6,3
103341,2,6,3
103342,1,6,2
103343,2,6,3
103344,2,6,2
103345,2,6,3
103346,2,6,2
103347,2,6,3
103348,2,6,3
103349,2,6,3
103350,2,6,2
103351,2,6,2
103352,2,6,3
103353,2,6,3
103354,2,6,2
103355,2,6,3
103356,2,6,3
103357,2,6,2
103358,2,6,3
103359,2,6,2
103360,2,6,3
103361,2,6,3
103362,2,6,3
103363,2,6,3
103364,2,6,2
103365,2,6,3
103366,2,6,2
103367,2,6,3
103368,2,6,2
103369,2,6,3
103370,2,6,3
103372,2,6,3
103373,2,6,2
103374,2,6,3
103375,2,6,3
103376,2,6,2
103377,2,6,2
103378,2,6,2
103379,2,6,2
103380,2,6,2
103381,2,6,3
103382,1,6,3
103383,2,6,3
103384,2,6,3
103385,2,6,3
103386,2,6,3
103388,2,6,3
103389,2,6,3
103390,2,6,3
103391,2,6,3
103392,2,6,3
103393,2,6,3
103394,2,6,3
103395,2,6,3
103396,2,6,3
105193,2,6,3
105194,3,6,3
105195,2,7,4
105196,2,6,3
105197,3,7,3
105198,3,7,3
105199,3,6,3
105200,3,6,4
105201,3,7,3
105202,3,7,2
105203,2,7,4
105204,2,6,2
105205,3,7,3
105206,3,6,3
105207,3,7,3
105209,3,6,3
105210,3,6,3
105211,2,6,3
105212,2,6,3
105213,1,6,4
105214,5,5,2
