,id,x,y,z,rx,ry,rz
0,101807,0.0028183022583931515,-0.011303015331328218,0.09718924746527313,0.484133,3.0685700000000002,0.159137
1,101808,-0.004921346323549669,-0.01923232007161571,0.09494158708444661,-0.467811,-3.0833169999999996,-0.190381
2,101809,-0.052152827448288544,-0.010629081006859227,0.16270781285962993,0.5013310000000001,4.889809,0.363302
3,101811,0.0008387119256811218,-0.001597545208499503,0.0968617133179989,0.296004,3.0751180000000002,0.25407399999999997
4,101812,0.0026408710391666915,-0.006373920228251218,0.09912347965391649,-0.495083,-3.0853,-0.23327399999999998
5,101814,-0.01581936881421543,-0.009574474437341876,0.08842280980516729,0.361192,3.03927,0.257728
6,101815,-0.0009300247701146116,-0.020088664560556052,0.07950859598583362,0.21943200000000002,3.0589020000000002,0.191947
7,101817,0.005776626399453242,-0.013057905546802948,0.08546699695559556,0.43074799999999996,3.090141,0.14810399999999999
8,101818,0.0027722258526793326,-0.020374552167478962,0.09559295173148269,0.342951,3.045585,0.125224
9,101822,-0.011518147811021558,-0.03871519581091103,0.13735821537996884,0.35635300000000003,2.9241479999999997,0.41195699999999996
10,101823,-0.006491473445414271,0.002822369715885123,0.07395769859441866,0.08010199999999999,3.035577,0.150078
11,101824,-0.010573433466484226,-0.016979700814488838,0.08496542116495218,0.142246,3.0637849999999998,0.220568
12,101825,0.013379200375680234,-0.010859852054602988,0.07516521568887369,0.153539,3.041618,0.170706
13,101826,-0.010678282221803045,-0.03361754631685025,0.09714239128171377,0.033276,2.988495,0.28004
14,101827,-0.002145603909146407,-0.017792538044832273,0.07546278954511645,0.040023,3.0149369999999998,0.200376
15,101828,0.0035275111252815903,-0.015160150472075862,0.09122737471142056,0.250374,3.051291,0.198536
16,101829,-0.011823788152872884,-0.012934407827510336,0.09064863000759797,-1.065191,-2.88593,-0.163824
17,101830,0.0005505691018961134,-0.010836786359182836,0.09598481533238004,-1.04944,-2.862956,-0.206877
18,101831,0.002579946749772734,-0.012094723482159439,0.0958732862811193,-0.773794,-3.014208,-0.22700399999999998
19,101832,-0.0031780363561592197,-0.00124361309026365,0.09145070793298954,-0.86595,-2.9295430000000002,-0.27889200000000003
21,101834,0.0011396681486241737,-0.028309834201699045,0.08674243493023612,0.258479,2.998657,0.218322
22,101835,-0.0002155168899195918,-0.02273070517012831,0.09189914550553938,0.239911,3.0307619999999997,0.259313
23,101836,-0.005341844301446909,-0.020412588958088333,0.09275448888034651,-0.760076,-3.005704,-0.389437
24,101837,-0.007721879507955911,-0.020553783720868152,0.10054549031626633,0.768302,3.0142349999999998,0.24863400000000002
25,101838,-0.0063103511413835625,-0.016656987008909663,0.09839646149099723,0.35329699999999997,3.090348,0.20256400000000002
26,101839,-0.00678363316893565,-0.011428222659917012,0.08814316050329567,0.204415,3.0533200000000003,0.200808
27,101840,-0.007084119371213386,-0.014932058983346801,0.09507170137917964,0.38116300000000003,3.095787,0.229427
28,101841,-0.007460304464322037,-0.01855037005743984,0.08944542194332561,0.131936,3.064156,0.22236799999999998
29,101843,-0.01241652147757892,-0.019932266749044737,0.08572440481863766,-0.081081,3.0224189999999997,0.179147
30,101844,0.01233135691387156,-0.008708288822124686,0.08692999757892865,0.220992,3.094235,0.208317
31,101845,-0.0006225761250576271,-0.013792570958642595,0.08802303028900922,0.11599300000000001,3.07741,0.171943
