# id,sphere,gamma
101807,499,39
101808,843,34
101809,546,55
101811,847,44
101812,777,93
101814,233,29
101815,876,55
101817,233,39
101818,141,82
101822,178,85
101823,614,49
101824,764,72
101825,610,35
101826,81,81
101827,233,29
101828,881,41
101829,238,105
101830,191,92
101831,182,22
101832,910,60
101834,843,34
101835,792,39
101836,843,35
101837,233,32
101838,314,96
101839,89,82
101840,845,88
101841,233,45
101843,314,97
101844,233,37
101845,233,53
101846,777,94
101847,89,55
101848,811,93
101849,690,75
101850,233,29
101851,314,97
101852,826,39
101853,233,43
101854,402,26
101855,743,95
101856,293,98
101857,607,99
101858,178,85
101859,910,53
101860,610,31
101862,843,33
101863,89,89
101864,89,61
101865,233,36
101869,826,39
101870,918,66
101871,610,30
101872,897,58
102877,280,94
102878,607,100
102879,212,92
102880,884,73
102881,897,54
102882,918,66
102883,178,86
102884,212,91
102885,843,39
102886,466,30
102887,178,88
102888,233,40
102889,233,30
102890,843,37
102891,910,57
102892,89,50
102893,910,56
102894,826,39
102895,897,63
102896,905,76
102897,881,41
102898,233,33
102900,89,54
102901,89,74
103033,89,65
103034,89,41
103035,610,27
103036,491,35
103037,675,98
103038,641,99
103039,89,41
103040,843,39
103041,81,86
103042,233,56
103043,89,64
103044,416,100
103045,610,27
103046,897,63
103047,607,99
103048,94,88
103049,466,28
103050,233,41
103051,897,65
103052,593,31
103053,675,97
103054,89,72
103055,931,59
103056,416,99
103057,910,58
103058,573,99
103059,902,44
103060,348,97
103061,610,26
103062,884,70
103063,610,27
103064,824,87
103065,89,61
103066,382,99
103067,897,64
103068,881,43
103069,696,91
103070,233,24
103071,607,99
103072,610,27
103073,89,57
103074,233,26
103075,610,29
103076,89,35
103077,89,61
103078,466,28
103079,233,34
103080,382,99
103081,675,98
103082,709,97
103083,450,91
103084,858,84
103085,610,27
103086,675,98
103087,178,85
103088,89,82
103089,89,48
103090,811,78
103091,610,27
103092,845,90
103094,573,100
103095,89,68
103097,89,51
103098,777,94
103099,89,62
103100,610,31
103101,897,62
103102,463,92
103103,382,99
103104,709,97
103105,89,61
103107,518,99
103108,675,98
103109,416,100
103110,178,87
103111,897,64
103112,879,87
103113,89,77
103114,607,100
103115,89,52
103116,811,90
103117,539,93
103118,89,79
103120,178,84
103121,858,85
103122,843,38
103123,89,55
103124,212,92
103125,610,29
103126,709,94
103127,881,42
103128,826,40
103129,675,100
103130,450,100
103131,212,92
103132,905,77
103133,918,67
103134,811,90
103135,811,92
103136,178,89
103137,892,81
103138,89,71
103139,881,43
103140,89,70
103141,89,69
103142,123,88
103143,233,49
103144,843,40
103145,881,43
103146,843,38
103147,910,58
103148,826,39
103149,881,43
103150,843,37
103151,843,36
103152,466,27
103153,897,63
103154,233,30
103155,709,97
103156,610,30
103157,233,42
103158,918,68
103159,382,97
103160,233,41
103161,361,89
103162,233,29
103163,484,100
103164,918,67
103165,212,90
103166,450,100
103167,879,79
103168,610,30
103169,879,86
103170,233,38
