# id,sphere,gamma
101807,246,91
101808,843,36
101809,355,38
101811,280,91
101812,843,36
101814,280,91
101815,280,92
101817,246,92
101818,225,92
101822,280,88
101823,259,93
101824,314,93
101825,259,93
101826,259,92
101827,259,93
101828,280,92
101829,843,40
101830,843,40
101831,843,38
101832,843,39
101834,259,91
101835,280,91
101836,843,40
101837,212,88
101838,280,92
101839,280,92
101840,280,91
101841,314,93
101843,293,94
101844,280,92
101845,314,93
101846,280,92
101847,314,93
101848,280,91
101849,314,92
101850,314,93
101851,280,92
101852,610,35
101853,259,93
101854,314,93
101855,675,97
101856,450,97
101857,641,97
101858,709,96
101859,607,97
101860,573,97
101862,641,98
101863,641,96
101864,466,34
101865,156,37
101869,641,96
101870,233,26
101871,610,27
101872,610,34
102877,843,36
102878,709,96
102879,843,35
102880,826,41
102881,709,95
102882,466,25
102883,843,34
102884,843,39
102885,743,94
102886,610,27
102887,610,29
102888,843,34
102889,843,39
102890,709,95
102891,484,98
102892,610,32
102893,843,39
102894,675,96
102895,233,26
102896,610,33
102897,843,38
102898,847,43
102900,610,28
102901,610,32
103033,172,56
103034,610,34
103035,610,34
103036,610,35
103037,259,92
103038,280,92
103039,280,92
103040,314,92
103041,314,92
103042,280,92
103043,314,92
103044,314,93
103045,314,92
103046,314,92
103047,280,91
103048,280,91
103049,280,90
103050,280,91
103051,280,91
103052,280,91
103053,280,91
103054,280,91
103055,314,92
103056,280,91
103057,280,92
103058,280,91
103059,280,92
103060,314,92
103061,314,92
103062,280,92
103063,610,35
103064,610,35
103065,314,91
103066,280,91
103067,314,91
103068,280,91
103069,610,35
103070,610,35
103071,610,35
103072,610,35
103073,610,35
103074,314,92
103075,610,36
103076,280,91
103077,610,36
103078,280,91
103079,610,36
103080,610,30
103081,868,48
103082,319,94
103083,843,38
103084,709,96
103085,327,96
103086,843,37
103087,641,98
103088,610,33
103089,826,43
103090,463,96
103091,610,33
103092,847,46
103094,251,88
103095,826,40
103097,610,32
103098,484,98
103099,610,32
103100,847,44
103101,484,99
103102,843,35
103103,641,98
103104,314,95
103105,843,39
103107,610,27
103108,280,93
103109,847,43
103110,610,27
103111,843,36
103112,610,28
103113,164,43
103114,610,37
103115,610,28
103116,610,27
103117,843,37
103118,340,96
103120,610,33
103121,610,29
103122,348,97
103123,843,40
103124,348,96
103125,382,97
103126,843,37
103127,327,94
103128,348,97
103129,610,29
103130,610,29
103131,484,99
103132,610,28
103133,826,42
103134,416,98
103135,843,36
103136,285,93
103137,843,38
103138,826,41
103139,654,94
103140,843,39
103141,743,92
103142,620,95
103143,843,39
103144,348,95
103145,743,92
103146,518,95
103147,610,35
103148,843,39
103149,675,94
103150,620,94
103151,518,97
103152,843,39
103153,709,92
103154,709,92
103155,641,95
103156,610,35
103157,709,92
103158,586,94
103159,539,97
103160,607,95
103161,843,37
103162,610,33
103163,235,70
103164,573,96
103165,290,73
103166,484,96
103167,675,94
103168,610,33
103169,675,94
103170,610,29
103171,675,94
103172,843,36
103173,675,94
103174,235,71
103175,675,94
103176,843,40
103177,573,96
103178,826,42
103179,843,40
103180,709,93
103181,610,29
103182,709,93
103183,610,33
103184,675,94
103185,610,32
103186,792,41
103187,641,97
103188,484,99
103189,484,98
103190,847,44
103191,709,96
103192,610,34
103193,518,99
103194,450,98
103195,843,36
103196,675,97
103197,539,98
103198,843,36
103200,484,98
103201,233,35
103202,607,98
103203,843,34
103204,552,98
103205,450,98
103206,680,84
