# ids,rot_voxel,cube_x,cube_y,cube_z
101807,0,3,6,3
101808,0,4,6,3
101812,0,3,6,3
101817,0,3,6,3
101840,0,4,7,3
102883,0,4,7,4
103102,0,3,6,4
103192,0,4,6,4
103218,0,3,7,3
103289,0,4,7,3
108827,0,3,7,4
108852,0,5,6,4
108863,0,4,7,4
123371,0,4,6,3
123382,0,4,6,3
123499,0,3,6,3
123501,0,3,6,3
123504,0,3,6,3
123505,0,4,6,4
125793,0,4,6,4
143185,0,4,6,3
143199,0,4,6,3
143230,0,4,6,3
146950,0,4,6,3
147617,0,4,6,3
147627,0,4,6,3
147628,0,4,7,3
147629,0,3,6,4
147630,0,4,6,3
147666,0,4,7,3
148004,0,4,7,3
173142,0,4,7,4
173386,0,4,7,4
173512,0,4,7,3
177720,0,4,7,4
181672,0,4,6,4
186151,0,3,7,3
199246,0,5,6,4
202657,0,4,6,4
203301,0,3,6,3
203307,0,3,6,4
203338,0,3,6,4
203342,0,2,6,4
203344,0,2,6,4
203354,0,3,6,3
203356,0,3,6,3
203360,0,4,5,3
203364,0,4,6,3
203388,0,3,6,3
203390,0,3,6,4
203402,0,3,6,3
203449,0,4,6,3
203470,0,4,6,3
203538,0,4,6,3
220136,0,4,6,3
220164,0,3,6,3
220180,0,4,6,3
220187,0,4,6,3
220201,0,4,6,3
220206,0,3,6,3
225629,0,3,6,3
228921,0,3,6,4
229496,0,4,6,3
229501,0,4,6,3
229509,0,3,6,3
238440,0,4,6,3
238452,0,4,6,3
240118,0,4,6,3
240128,0,4,6,3
247655,0,3,6,3
268950,0,4,7,3
268954,0,4,7,3
268956,0,4,7,3
268962,0,4,7,3
268966,0,3,7,3
268976,0,3,7,3
272255,0,3,7,3
307988,0,4,7,3
319898,0,4,7,4
343198,0,3,7,3
348127,0,3,7,3
348134,0,3,7,3
348136,0,3,7,3
348138,0,3,7,3
348142,0,3,7,3
348143,0,3,7,3
348146,0,3,7,3
348164,0,3,7,3
348166,0,3,7,3
348170,0,3,7,3
348172,0,3,7,3
348173,0,3,7,3
348175,0,4,7,3
377549,0,3,7,3
377575,0,3,7,3
377586,0,4,7,3
377608,0,4,7,3
377612,0,3,7,3
377636,0,3,7,3
409309,0,3,7,3
409390,0,3,7,3
409422,0,3,7,3
409442,0,3,7,3
446176,0,3,7,3
460160,0,3,7,3
467978,0,3,7,3
468003,0,4,7,3
468042,0,3,7,3
468055,0,3,7,3
468084,0,4,7,3
481219,0,4,7,3
481245,0,3,7,3
517211,0,3,7,3
517215,0,3,7,3
552351,0,3,7,3
556970,0,3,7,3
557039,0,3,7,4
557950,0,3,7,3
573687,0,1,6,4
573694,0,3,7,3
573701,0,4,7,4
573729,0,3,7,3
585000,0,4,7,3
586595,0,4,7,3
586728,0,3,7,3
586761,0,3,7,3
586833,0,4,6,4
609627,0,3,7,3
609630,0,4,7,3
609640,0,4,7,2
609643,0,4,7,3
609667,0,3,7,4
642615,0,3,7,3
642700,0,3,7,3
655190,0,4,7,3
655217,0,4,7,3
671760,0,3,7,3
692297,0,3,6,4
694581,0,3,7,2
694608,0,4,7,2
709438,0,4,7,3
709584,0,4,7,3
709705,0,4,7,3
725738,0,3,7,3
740480,0,3,7,3
749056,0,3,7,3
749059,0,4,7,3
754867,0,3,7,3
787024,0,4,7,2
835646,0,4,7,3
865062,0,3,7,3
865069,0,2,7,4
892071,0,3,7,3
892161,0,3,7,4
899917,0,2,7,4
899936,0,4,7,3
902357,0,3,7,3
924291,0,3,7,3
927501,0,2,7,3
936236,0,3,7,4
983671,0,3,7,3
101811,1,3,7,2
101814,1,3,6,4
101815,1,4,7,4
101818,1,4,7,4
101828,1,3,7,4
101834,1,4,7,4
101846,1,4,7,4
103052,1,3,7,4
103054,1,3,7,4
103056,1,4,7,4
108855,1,3,7,5
123484,1,3,7,4
125823,1,2,7,4
125851,1,4,7,4
126095,1,4,7,4
141560,1,3,7,4
141618,1,3,7,4
141620,1,3,7,4
147794,1,4,7,4
173071,1,3,7,3
173173,1,3,7,3
173376,1,3,7,4
173424,1,5,7,5
173426,1,3,7,4
173440,1,3,7,4
173499,1,4,7,4
173532,1,3,7,4
202630,1,3,7,4
220173,1,4,7,4
220174,1,3,7,4
220193,1,3,7,4
272163,1,3,7,4
272200,1,3,7,4
272206,1,4,7,4
287965,1,4,7,4
307980,1,3,7,5
307984,1,3,7,5
307987,1,3,7,4
312916,1,3,7,5
312940,1,3,7,4
319681,1,3,7,4
343425,1,3,7,4
348112,1,4,7,4
352469,1,3,7,4
352484,1,4,7,4
446192,1,3,6,4
552336,1,2,7,4
560268,1,3,7,4
560285,1,3,7,4
586743,1,2,7,4
823005,1,5,7,3
884146,1,5,7,3
884160,1,4,7,3
967920,1,4,7,2
983558,1,4,7,2
983569,1,3,7,3
983640,1,4,7,3
983642,1,3,7,3
983644,1,4,7,2
101823,2,4,7,2
101824,2,3,7,2
101825,2,3,7,3
101839,2,6,7,4
101841,2,4,7,2
101845,2,3,7,2
101853,2,4,7,3
103037,2,4,7,3
103042,2,4,7,3
108850,2,3,7,2
123532,2,4,7,2
125852,2,4,7,2
147926,2,4,7,2
173174,2,4,7,2
173212,2,3,7,1
173337,2,5,7,3
173383,2,4,7,2
186108,2,3,7,2
203260,2,4,7,3
203452,2,5,7,3
220127,2,4,7,3
220172,2,4,7,3
220175,2,3,7,2
220309,2,4,7,2
225495,2,4,7,2
225625,2,4,7,3
238410,2,4,7,3
241761,2,5,7,1
241762,2,4,7,3
241765,2,4,7,2
241768,2,4,7,3
241769,2,4,7,3
241778,2,3,7,3
241782,2,4,7,3
241786,2,4,7,3
241787,2,5,7,2
241789,2,3,7,3
241790,2,4,7,3
272202,2,4,7,3
307664,2,3,7,3
307675,2,4,7,3
307678,2,3,6,2
307895,2,4,7,2
307965,2,5,7,3
307970,2,4,7,3
307979,2,3,7,2
307981,2,4,7,4
307991,2,3,7,3
307995,2,3,7,3
307996,2,4,7,3
308000,2,4,7,4
308004,2,4,7,4
312879,2,4,7,4
313053,2,4,7,4
319638,2,4,7,3
319653,2,4,7,4
339363,2,4,7,3
345372,2,4,7,4
351319,2,4,7,4
351321,2,4,7,3
352334,2,3,7,3
377603,2,5,7,3
467935,2,4,7,4
523816,2,5,7,4
560271,2,3,7,2
560276,2,3,7,2
560303,2,2,7,2
573642,2,4,7,2
609638,2,3,7,2
609652,2,4,7,4
609656,2,4,7,3
609671,2,4,7,3
671651,2,4,7,3
699717,2,4,7,3
699749,2,4,7,3
699752,2,4,7,4
699780,2,4,7,4
699784,2,4,7,4
699787,2,5,7,4
699788,2,4,7,3
699806,2,4,7,4
699846,2,4,7,4
699850,2,4,7,3
699859,2,5,7,4
699860,2,4,7,3
699861,2,2,7,2
699862,2,3,7,3
699866,2,2,7,3
699867,2,2,7,3
699869,2,2,7,3
699874,2,4,7,4
699879,2,2,7,2
699881,2,3,7,3
699882,2,4,7,4
699883,2,3,7,3
699886,2,3,7,3
699888,2,2,7,3
699891,2,3,7,4
699893,2,3,7,3
699894,2,4,7,2
699965,2,2,7,3
717999,2,3,7,4
718002,2,3,7,4
718017,2,2,7,3
794746,2,2,7,2
794748,2,4,7,4
794749,2,3,7,3
794750,2,2,7,2
794751,2,4,7,3
794753,2,4,7,3
794754,2,3,7,3
794757,2,2,7,3
794760,2,2,7,3
794762,2,4,7,4
794768,2,3,7,4
794779,2,3,7,3
794840,2,2,7,3
794843,2,3,7,3
794848,2,2,7,3
794851,2,4,7,4
794852,2,4,7,3
794855,2,3,7,3
794856,2,3,7,3
794858,2,3,7,2
794859,2,4,7,4
794941,2,3,7,3
794943,2,3,7,3
794951,2,3,7,2
794954,2,4,7,4
823004,2,3,7,4
884145,2,3,7,3
939607,2,4,7,4
983543,2,3,7,3
983553,2,3,7,3
983554,2,3,7,3
983555,2,4,7,4
983557,2,3,7,4
983559,2,4,7,4
983563,2,3,7,3
983564,2,3,7,3
983565,2,2,7,4
983566,2,4,7,4
983568,2,4,7,3
983571,2,3,7,3
983572,2,4,7,3
983573,2,4,7,3
983575,2,2,7,3
983576,2,2,7,3
983580,2,3,7,4
983583,2,3,7,4
983639,2,3,7,4
983653,2,4,7,3
983680,2,2,7,3
983681,2,4,7,4
101826,3,2,7,3
101850,3,5,7,5
103040,3,3,7,3
103043,3,4,7,4
103044,3,4,7,4
103045,3,4,7,4
103046,3,2,7,4
147672,3,4,7,4
173509,3,5,7,4
225641,3,3,7,3
241760,3,3,7,3
241770,3,3,7,4
241772,3,3,7,3
241773,3,3,7,3
241774,3,4,7,3
268876,3,5,7,4
273516,3,3,7,4
328123,3,4,7,4
447388,3,5,7,5
447389,3,4,7,5
447400,3,3,7,4
467958,3,4,7,5
467964,3,5,7,4
532824,3,4,7,4
532840,3,4,7,4
573638,3,4,7,5
573669,3,4,6,3
609672,3,4,7,3
699748,3,4,7,3
699793,3,4,6,3
699848,3,4,6,3
699854,3,4,7,4
699964,3,3,7,4
699966,3,4,7,3
699989,3,3,6,2
701590,3,3,6,3
737789,3,3,7,4
794684,3,3,5,3
794738,3,3,5,3
794742,3,3,5,3
794744,3,3,5,3
794755,3,3,5,3
794758,3,3,5,3
794761,3,4,5,3
794764,3,3,5,3
794767,3,3,5,4
794769,3,3,5,3
794770,3,3,5,3
794771,3,3,6,3
794772,3,3,6,3
794774,3,3,6,3
794775,3,3,5,3
794778,3,3,6,3
794780,3,4,6,3
794782,3,3,5,3
794786,3,3,6,3
794841,3,3,6,3
794844,3,3,6,4
794846,3,4,5,3
794857,3,3,5,3
794860,3,4,6,3
794864,3,3,6,3
794865,3,3,6,4
794870,3,3,6,3
794871,3,3,5,3
794872,3,3,6,3
794876,3,4,5,3
794877,3,3,5,3
794930,3,3,6,3
794933,3,3,6,3
794937,3,3,6,3
794938,3,3,5,3
794939,3,4,6,3
794940,3,3,5,3
794944,3,2,5,4
794945,3,3,5,2
794949,3,3,5,3
794950,3,3,5,2
794956,3,3,6,3
831425,3,3,5,3
101827,4,3,5,3
101847,4,3,5,3
101854,4,3,6,3
125812,4,3,5,3
125853,4,3,5,2
141526,4,3,6,3
147670,4,3,6,3
147671,4,3,6,3
147689,4,3,6,3
147939,4,4,5,2
173170,4,3,6,3
173190,4,3,5,3
173335,4,3,6,3
202595,4,3,5,3
202608,4,3,5,3
202611,4,3,6,3
229518,4,3,6,3
241766,4,4,5,2
241767,4,3,6,3
241771,4,4,5,3
241776,4,3,6,3
241777,4,4,6,3
241779,4,4,6,3
241780,4,4,6,3
241783,4,4,6,3
241784,4,4,6,3
241785,4,4,6,3
241791,4,4,6,3
241793,4,4,6,3
264539,4,4,6,3
272195,4,4,6,3
307681,4,4,6,3
307793,4,4,6,3
307863,4,4,6,3
307880,4,4,6,3
307960,4,4,6,3
307962,4,4,6,3
307963,4,4,5,3
307964,4,4,6,3
307966,4,4,6,3
307976,4,4,6,3
307989,4,4,6,2
307990,4,3,6,3
307994,4,3,5,3
307998,4,3,5,3
308002,4,4,6,3
308006,4,3,6,3
312875,4,3,5,2
319658,4,4,5,3
319839,4,3,5,3
319845,4,3,5,4
319857,4,4,6,2
339378,4,3,5,3
339386,4,3,5,3
345360,4,2,6,3
367341,4,3,5,3
367350,4,4,6,3
377585,4,3,6,3
446203,4,3,6,3
446286,4,2,6,3
447415,4,3,6,3
447416,4,3,6,3
447417,4,3,6,3
447418,4,3,6,3
459594,4,3,6,3
523823,4,3,6,3
523852,4,4,6,3
560295,4,3,6,3
573536,4,4,6,3
573693,4,3,5,2
573706,4,4,6,3
573747,4,3,6,3
586747,4,3,6,4
609629,4,3,6,4
609654,4,3,6,3
624821,4,3,6,3
624822,4,3,6,4
699754,4,3,6,3
699755,4,3,6,4
699756,4,3,6,4
699757,4,3,6,3
699758,4,2,6,4
699759,4,3,6,4
699760,4,3,6,3
699761,4,3,6,3
699767,4,3,6,3
699768,4,3,6,3
699770,4,3,6,3
699772,4,3,6,3
699773,4,3,6,3
699774,4,4,6,3
699776,4,3,6,3
699778,4,3,6,3
699779,4,3,6,3
699782,4,4,6,2
699783,4,4,6,3
699786,4,4,6,3
699790,4,4,6,3
699791,4,4,6,3
699794,4,4,6,3
699847,4,4,6,3
699851,4,3,6,3
699852,4,4,4,5
699853,4,3,6,4
699858,4,4,5,2
699864,4,3,6,3
699870,4,3,6,3
699875,4,4,5,3
699876,4,3,6,3
699885,4,3,6,4
699890,4,4,6,4
699895,4,3,6,4
699954,4,3,6,3
699967,4,5,4,6
699969,4,3,7,4
699971,4,4,6,4
709717,4,3,6,4
718015,4,5,6,3
718024,4,3,6,4
737748,4,4,6,3
737760,4,4,6,3
794739,4,3,6,4
794740,4,3,6,3
794741,4,3,6,3
794743,4,3,6,3
794745,4,3,6,3
794747,4,3,6,3
794756,4,4,6,3
794765,4,3,6,3
794766,4,4,6,3
794773,4,3,6,4
794776,4,3,6,4
794847,4,3,6,4
794854,4,3,6,3
794863,4,4,6,4
794868,4,3,6,3
794932,4,3,5,4
794934,4,4,6,3
794942,4,3,6,3
794946,4,3,6,4
794947,4,3,6,3
794948,4,3,6,3
794952,4,4,6,3
794953,4,4,6,3
794955,4,3,6,4
794958,4,3,6,4
822961,4,3,6,3
822974,4,3,6,4
822989,4,3,6,3
