# theta,phi
0.000000000000000000e+00,3.141592653589793116e+00
3.883222077450932730e+00,2.976928296738220681e+00
1.483258847722279006e+00,2.965530550898789919e+00
5.366480925173212846e+00,2.954820337524513008e+00
2.966517695444558012e+00,2.944685425481378349e+00
5.665544657159052866e-01,2.935041102534240665e+00
4.449776543166838572e+00,2.925821565894393572e+00
2.049813313438182849e+00,2.916974494111987504e+00
5.933035390889116023e+00,2.908457471646575421e+00
3.533072161160463409e+00,2.900235547327773666e+00
1.133108931431810573e+00,2.892279515933376288e+00
5.016331008882743525e+00,2.884564677184582315e+00
2.616367779154090911e+00,2.877069919416685106e+00
2.164045494254324686e-01,2.869777029779761790e+00
4.099626626876365698e+00,2.862670166069756661e+00
1.699663397147712862e+00,2.855735446182035453e+00
5.582885474598646702e+00,2.848960624675604514e+00
3.182922244869993200e+00,2.842334834870758442e+00
7.829590151413404753e-01,2.835848380948270187e+00
4.666181092592274204e+00,2.829492568689677690e+00
2.266217862863621146e+00,2.823259566428041101e+00
6.149439940314554320e+00,2.817142289869700722e+00
3.749476710585901262e+00,2.811134305962107671e+00
1.349513480857248426e+00,2.805229752094620999e+00
5.232735558308181822e+00,2.799423267745456023e+00
2.832772328579528764e+00,2.793709936309074937e+00
4.328090988508649373e-01,2.788085235310179488e+00
4.316031176301809325e+00,2.782544993572435565e+00
1.916067946573145386e+00,2.777085354190294453e+00
5.799290024024090329e+00,2.771702742371051631e+00
3.399326794295425724e+00,2.766393837386508459e+00
9.993635645667841017e-01,2.761155548010089777e+00
4.882585642017706284e+00,2.755984990924313927e+00
2.482622412289064773e+00,2.750879471671112686e+00
8.265918256040052925e-02,2.745836467788359769e+00
3.965881260011344889e+00,2.740853613833607039e+00
1.565918030282680951e+00,2.735928688043193890e+00
5.449140107733625449e+00,2.731059600413654920e+00
3.049176878004961289e+00,2.726244382024407997e+00
6.492136482763196659e-01,2.721481175447315604e+00
4.532435725727242293e+00,2.716768226110904738e+00
2.132472495998600337e+00,2.712103874505631396e+00
6.015694573449522409e+00,2.707486549132209319e+00
3.615731343720880453e+00,2.702914760108239722e+00
1.215768113992216515e+00,2.698387093359565281e+00
5.098990191443161457e+00,2.693902205332303179e+00
2.699026961714496853e+00,2.689458818169633059e+00
2.990637319858552856e-01,2.685055715304388357e+00
4.182285809436777413e+00,2.680691737424460097e+00
1.782322579708113475e+00,2.676365778773198034e+00
5.665544657159057529e+00,2.672076783751434537e+00
3.265581427430393813e+00,2.667823743791611246e+00
8.656181977017298745e-01,2.663605694477850783e+00
4.748840275152696577e+00,2.659421712888741851e+00
2.348877045424032417e+00,2.655270915142131649e+00
6.232099122874954489e+00,2.651152454123486546e+00
3.832135893146290773e+00,2.647065517381320454e+00
